time	magnitude	longitude	latitude	depth(m)	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score
2023-02-07T00:14:31.891	2.825	37.023	37.518	10550.677	0.689	0.481	-0.070	55	28.314
2023-02-07T00:15:20.737	3.811	36.808	37.302	9875.472	0.576	0.445	0.303	56	45.920
2023-02-07T03:42:12.517	3.413	37.168	37.444	12717.904	0.559	0.450	0.093	57	39.323
2023-02-07T02:08:10.111	3.216	37.280	37.603	0.000	0.544	0.440	0.025	58	26.307
2023-02-07T02:09:08.045	3.013	37.646	37.979	8130.855	0.762	0.536	-0.095	59	27.629
2023-02-07T14:31:24.842	2.440	37.021	37.492	23580.095	0.561	0.476	-0.005	60	10.021
2023-02-07T14:32:12.361	2.622	36.967	37.434	0.000	0.609	0.447	0.112	61	34.228
2023-02-07T14:32:59.099	2.445	37.392	37.399	22566.321	0.664	0.450	0.022	62	11.470
2023-02-07T14:33:44.390	3.284	37.539	37.743	1548.304	0.693	0.374	0.100	63	42.421
2023-02-07T14:34:32.940	2.355	37.034	37.494	13357.645	0.557	0.433	-0.090	64	13.880
2023-02-07T14:34:45.904	3.611	36.660	37.920	17523.629	0.809	0.372	0.024	65	44.724
2023-02-07T14:35:03.282	3.655	37.419	38.055	0.000	0.864	0.515	0.236	66	14.751
2023-02-07T14:35:33.411	4.039	38.061	38.204	14533.624	0.624	0.375	0.617	67	39.963
2023-02-07T02:10:56.007	2.107	37.192	37.498	11183.810	0.504	0.257	0.025	68	11.893
2023-02-07T02:11:57.728	3.187	37.096	37.667	0.000	0.603	0.465	0.055	69	9.769
2023-02-07T02:12:18.913	3.971	37.655	37.790	0.000	0.612	0.360	-0.054	70	28.817
2023-02-07T02:12:48.006	3.644	36.614	38.126	15350.004	0.592	0.481	0.132	71	18.959
2023-02-07T03:44:05.365	1.825	37.154	37.434	7711.440	0.523	0.483	0.144	72	8.626
2023-02-07T03:45:00.879	2.130	37.312	37.370	10396.575	0.233	0.750	0.021	73	5.501
2023-02-07T03:45:22.514	2.840	37.169	37.475	3283.840	0.902	0.415	0.183	74	9.646
2023-02-07T03:45:28.081	1.960	37.291	37.527	11303.103	0.803	0.507	-0.090	75	10.069
2023-02-07T03:45:38.389	1.760	37.242	37.402	10004.761	0.773	0.559	-0.034	76	9.171
2023-02-07T03:46:03.640	2.467	37.177	37.462	11953.810	0.372	0.476	-0.107	77	21.337
2023-02-07T03:46:11.345	2.451	37.248	37.625	8479.928	0.509	0.450	-0.032	78	12.972
2023-02-07T03:47:04.901	2.670	37.077	37.524	14354.809	0.332	0.501	-0.050	79	9.301
2023-02-07T07:18:42.273	3.663	38.113	38.201	21844.637	0.558	0.395	0.071	80	37.146
2023-02-07T07:19:52.280	3.275	36.838	37.771	31000.000	0.695	0.334	-0.048	81	11.523
2023-02-07T07:21:23.598	3.032	37.721	38.083	14234.614	0.931	0.386	-0.376	82	31.230
2023-02-07T07:22:15.351	2.936	37.400	37.543	12399.166	0.818	0.653	-0.055	83	16.501
2023-02-07T07:23:21.780	3.079	37.300	37.577	22535.022	0.580	0.570	-0.352	84	15.895
2023-02-07T02:14:18.187	3.236	37.225	37.667	31000.000	0.733	0.535	-0.217	85	13.953
2023-02-07T00:17:46.988	2.409	36.963	37.398	0.000	0.475	0.510	0.036	86	14.278
2023-02-07T00:17:57.150	3.525	36.604	38.132	7134.900	0.581	0.424	-0.089	87	32.141
2023-02-07T00:19:23.054	2.289	37.143	37.494	0.000	0.730	0.656	0.148	88	9.155
2023-02-07T00:19:46.874	3.502	37.126	37.657	0.000	0.674	0.541	-0.123	89	9.345
2023-02-07T00:21:06.890	3.676	37.663	37.805	4415.508	0.535	0.385	0.427	90	29.000
2023-02-07T03:48:23.668	3.402	37.443	38.025	19279.304	0.780	0.469	0.063	91	35.052
2023-02-07T03:49:08.147	2.650	36.973	37.554	0.000	0.668	0.580	-0.059	92	18.597
2023-02-07T03:50:16.443	3.013	36.856	38.112	408.086	0.521	0.456	-0.378	93	33.954
2023-02-07T03:51:05.764	2.758	37.101	37.532	0.000	0.515	0.471	0.049	94	21.342
2023-02-07T03:51:15.033	3.186	37.093	37.547	31000.000	0.549	0.636	-0.086	95	6.960
2023-02-07T00:23:29.984	3.393	37.188	37.318	0.000	0.654	0.638	0.737	96	11.380
2023-02-07T00:23:44.849	3.757	37.097	37.783	0.000	0.866	0.607	-0.293	97	7.184
2023-02-07T02:15:43.535	2.075	37.294	37.506	0.000	0.613	0.598	0.003	98	9.542
2023-02-07T02:16:10.025	2.819	36.880	37.351	0.000	0.367	0.498	-0.044	99	8.768
2023-02-07T02:18:53.300	3.525	36.586	38.027	0.000	0.639	0.449	0.715	100	63.349
2023-02-07T00:26:21.133	3.962	36.684	38.149	16161.217	0.619	0.495	-0.045	101	33.574
2023-02-07T00:27:41.184	2.290	37.012	37.773	312.200	0.621	0.445	-0.039	102	7.467
2023-02-07T00:29:14.859	3.843	37.180	37.532	11759.071	0.533	0.456	0.014	103	33.943
2023-02-07T02:20:22.500	2.463	37.153	37.395	6316.131	0.592	0.599	0.144	104	13.805
2023-02-07T02:20:59.221	2.169	37.084	37.572	21661.069	0.634	0.615	0.043	105	6.996
2023-02-07T02:21:26.457	2.702	36.893	37.387	0.000	0.400	0.501	-0.177	106	13.555
2023-02-07T03:51:55.348	2.703	37.042	37.288	10129.083	0.473	0.441	-0.029	107	27.135
2023-02-07T03:52:38.392	2.433	37.105	37.386	3504.793	0.316	0.644	-0.030	108	11.000
2023-02-07T03:54:04.440	3.718	37.880	38.190	14659.196	0.576	0.433	0.036	109	38.647
2023-02-07T03:55:50.628	4.146	38.167	38.108	13175.988	0.655	0.445	0.877	110	53.000
2023-02-07T02:21:58.459	2.647	37.008	37.513	0.000	0.628	0.456	-0.156	111	34.420
2023-02-07T02:22:48.663	2.968	36.620	37.137	0.000	0.650	0.420	0.035	112	17.105
2023-02-07T03:58:55.587	4.366	37.282	37.581	9566.004	0.604	0.510	0.138	113	44.499
2023-02-07T03:59:32.629	3.939	37.020	38.063	7949.690	0.503	0.551	0.013	114	15.597
2023-02-07T00:31:45.847	2.445	37.132	37.546	0.000	0.642	0.431	0.046	115	12.690
2023-02-07T00:32:37.947	2.779	37.382	37.432	8061.902	0.795	0.672	0.341	116	9.000
2023-02-07T08:27:22.173	3.734	36.970	37.718	31000.000	0.950	0.372	0.229	117	39.627
2023-02-07T08:29:12.965	3.066	37.271	37.666	30999.772	0.749	0.480	0.126	118	16.663
2023-02-07T08:30:03.987	2.380	37.260	37.473	8259.814	0.420	0.537	-0.016	119	10.808
2023-02-07T04:02:07.617	3.739	36.595	38.086	5084.058	0.506	0.498	0.024	120	18.705
2023-02-07T04:02:16.866	4.004	37.169	37.410	5132.721	0.601	0.525	0.127	121	30.641
2023-02-07T04:03:34.425	3.614	37.549	38.034	31000.000	0.713	0.487	-0.345	122	71.000
2023-02-07T02:24:56.525	3.267	37.290	38.105	20288.950	0.656	0.398	0.073	123	31.915
2023-02-07T00:33:52.140	2.844	37.150	37.019	0.000	0.475	0.556	0.038	124	6.994
2023-02-07T00:35:19.479	2.951	37.409	37.482	0.000	0.689	0.552	-0.117	125	14.223
2023-02-07T00:35:24.226	3.446	37.362	37.448	7760.222	0.590	0.678	-0.159	126	8.739
2023-02-07T00:35:30.989	2.213	37.307	37.696	0.000	0.370	0.494	0.030	127	9.084
2023-02-07T00:35:36.908	2.455	37.250	37.308	0.000	0.390	0.438	0.036	128	8.494
2023-02-07T00:36:35.833	3.490	37.320	37.583	0.000	0.937	0.281	0.063	129	9.303
2023-02-07T00:36:40.348	3.185	37.212	37.597	18314.644	0.855	0.461	-0.147	130	12.831
2023-02-07T00:36:44.408	3.214	37.335	37.495	23275.234	0.589	0.241	-0.020	131	9.842
2023-02-07T00:38:11.882	2.904	37.262	37.400	390.140	0.815	0.672	-0.101	132	17.137
2023-02-07T00:40:08.784	3.847	36.610	38.140	10735.674	0.519	0.402	-0.041	133	32.650
2023-02-07T00:41:24.458	2.790	37.134	37.436	595.487	0.558	0.492	0.073	134	19.942
2023-02-07T02:26:39.931	4.051	37.423	37.583	0.000	0.935	0.390	0.106	135	12.728
2023-02-07T02:26:49.736	2.753	37.172	37.528	0.000	0.581	0.697	0.215	136	9.986
2023-02-07T02:27:06.248	2.649	37.363	37.518	12534.781	0.653	0.526	0.132	137	11.751
2023-02-07T02:28:12.829	4.129	37.119	37.727	31000.000	0.838	0.499	0.578	138	28.468
2023-02-07T14:37:00.622	2.451	37.020	37.509	17735.662	0.891	0.333	-0.090	139	14.652
2023-02-07T14:37:15.242	2.762	36.997	37.455	6293.374	0.547	0.591	0.310	140	12.996
2023-02-07T14:37:53.242	2.184	37.283	37.623	2926.861	0.788	0.388	0.355	141	13.678
2023-02-07T14:39:15.345	2.402	37.110	37.612	0.000	0.776	0.402	0.250	142	9.862
2023-02-07T14:39:46.442	2.648	37.173	37.539	0.000	0.819	0.524	-0.194	143	14.956
2023-02-07T14:41:46.536	2.129	37.069	37.347	4189.866	0.453	0.483	0.024	144	19.737
2023-02-07T14:42:26.003	2.340	37.181	37.510	19176.889	0.498	0.534	-0.093	145	5.740
2023-02-07T14:42:40.191	2.575	37.119	37.465	18326.336	0.683	0.485	-0.246	146	20.650
2023-02-07T14:43:44.360	2.209	37.080	37.411	8650.443	0.446	0.507	0.259	147	19.720
2023-02-07T00:44:08.574	3.068	37.497	37.530	31000.000	0.594	0.391	-0.045	148	9.862
2023-02-07T00:44:41.003	2.752	37.176	37.430	5655.863	0.693	0.492	0.087	149	19.000
2023-02-07T09:46:48.044	3.527	37.138	37.588	31000.000	0.634	0.414	-0.458	150	22.108
2023-02-07T21:13:19.007	3.037	36.977	37.214	0.000	0.486	0.460	-0.064	151	33.910
2023-02-07T21:13:32.561	3.037	36.969	37.211	0.000	0.423	0.432	0.102	152	24.012
2023-02-07T21:14:16.444	2.601	36.610	37.026	0.000	0.628	0.412	0.153	153	23.722
2023-02-07T21:14:39.300	3.018	37.281	37.566	6270.498	0.543	0.315	-0.097	154	14.337
2023-02-07T21:14:49.916	2.526	37.376	37.474	26459.977	0.948	0.461	-0.287	155	11.977
2023-02-07T21:15:06.452	2.095	36.984	37.440	12360.179	0.454	0.414	0.016	156	16.311
2023-02-07T21:15:24.313	3.395	37.386	37.927	0.000	0.744	0.411	0.415	157	38.515
2023-02-07T21:16:22.756	2.632	36.861	37.092	13344.935	0.610	0.253	-0.020	158	15.979
2023-02-07T21:17:15.675	2.997	36.548	38.050	31000.000	0.340	0.441	0.042	159	10.668
2023-02-07T21:17:51.634	2.506	37.244	37.789	0.000	0.594	0.505	-0.055	160	16.208
2023-02-07T21:18:31.281	2.648	37.119	37.427	24417.560	0.876	0.645	-0.100	161	24.771
2023-02-07T21:19:25.590	2.491	37.162	37.568	0.000	0.295	0.314	-0.015	162	17.652
2023-02-07T21:19:47.795	2.599	37.297	37.509	28645.626	0.474	0.495	0.041	163	10.738
2023-02-07T21:19:56.362	2.965	37.170	37.342	28525.421	0.593	0.509	0.054	164	11.646
2023-02-07T14:44:40.013	2.816	37.577	37.861	31000.000	0.797	0.451	0.435	165	21.231
2023-02-07T02:30:44.572	2.260	37.281	37.598	1277.150	0.417	0.481	0.079	166	11.528
2023-02-07T21:24:34.053	3.702	37.658	37.980	9062.103	0.497	0.359	0.040	167	45.255
2023-02-07T00:45:33.534	2.772	37.058	37.352	9617.688	0.351	0.425	0.040	168	21.141
2023-02-07T00:46:16.419	2.803	37.117	37.380	6813.173	0.384	0.597	-0.009	169	14.886
2023-02-07T00:46:37.141	2.552	37.290	37.341	21190.031	0.633	0.657	-0.640	170	13.711
2023-02-07T00:46:46.064	3.445	37.424	37.578	7215.967	0.745	0.338	0.010	171	14.453
2023-02-07T00:46:50.959	3.549	37.146	37.737	24942.689	0.656	0.384	-0.246	172	12.140
2023-02-07T14:45:33.057	3.143	37.805	37.858	8502.212	0.537	0.419	-0.248	173	53.691
2023-02-07T02:32:55.022	3.247	37.712	38.055	6880.401	0.727	0.459	-0.037	174	31.364
2023-02-07T04:04:28.595	3.170	36.142	36.736	0.000	0.756	0.470	0.622	175	21.249
2023-02-07T04:05:51.627	3.228	37.336	37.807	31000.000	0.815	0.416	0.270	176	22.386
2023-02-07T04:06:03.566	2.768	37.564	37.573	25212.180	0.741	0.497	-0.008	177	20.421
2023-02-07T04:06:10.323	2.763	37.308	37.506	11249.207	0.803	0.442	-0.108	178	9.243
2023-02-07T04:06:49.471	3.324	37.214	37.481	0.000	0.671	0.395	0.194	179	31.246
2023-02-07T14:46:24.852	3.099	36.817	38.109	0.000	0.780	0.432	0.546	180	40.011
2023-02-07T02:34:39.200	3.746	36.644	37.864	0.000	0.488	0.458	0.042	181	31.376
2023-02-07T04:07:58.313	3.979	37.501	38.001	22854.348	0.647	0.507	0.183	182	37.561
2023-02-07T02:37:24.972	3.347	37.230	37.703	31000.000	0.693	0.470	-0.401	183	21.862
2023-02-07T02:37:31.797	3.479	37.352	37.359	12656.198	0.508	0.539	-0.190	184	10.235
2023-02-07T02:39:02.900	4.006	37.483	38.611	0.000	0.801	0.498	0.516	185	40.575
2023-02-07T14:47:48.720	2.613	37.447	37.897	31000.000	0.644	0.452	-0.034	186	9.887
2023-02-07T14:48:53.979	3.175	37.027	38.065	3672.135	0.638	0.487	0.024	187	39.672
2023-02-07T02:41:57.408	3.408	36.703	37.168	0.000	0.430	0.419	0.049	188	27.659
2023-02-07T02:43:20.831	4.174	37.168	37.746	0.000	0.705	0.556	0.283	189	17.674
2023-02-07T02:43:20.037	3.409	37.009	37.285	0.000	0.430	0.440	0.026	190	24.326
2023-02-07T00:49:18.573	2.523	37.486	37.414	31000.000	0.349	0.500	0.000	191	8.337
2023-02-07T00:50:11.058	3.465	37.426	37.609	0.000	0.816	0.594	-0.806	192	36.456
2023-02-07T00:50:21.200	3.902	37.361	37.295	45.663	0.522	0.452	-0.059	193	5.407
2023-02-07T00:51:41.598	3.245	37.247	37.545	0.000	0.587	0.357	-0.028	194	23.578
2023-02-07T11:15:05.900	2.337	37.178	37.549	0.000	0.566	0.430	0.073	195	20.300
2023-02-07T11:15:43.119	3.148	36.932	37.341	6723.271	0.539	0.462	0.022	196	33.785
2023-02-07T11:16:47.373	2.287	37.165	37.408	9021.437	0.327	0.414	0.082	197	14.400
2023-02-07T11:17:36.592	2.569	37.351	37.343	12940.296	0.719	0.351	-0.023	198	10.098
2023-02-07T11:17:47.744	2.467	37.256	37.532	3163.316	0.564	0.358	0.016	199	17.007
2023-02-07T11:18:00.573	3.347	36.846	38.112	0.000	0.646	0.429	-0.008	200	38.040
2023-02-07T11:18:42.751	3.266	36.593	37.888	0.000	0.601	0.464	-0.366	201	24.927
2023-02-07T17:40:28.039	2.353	37.242	37.321	106.978	0.900	0.516	-0.147	202	12.008
2023-02-07T17:40:56.209	2.319	37.101	37.499	0.000	0.429	0.546	0.072	203	17.576
2023-02-07T17:41:31.281	2.816	37.022	37.474	10658.338	0.594	0.457	0.004	204	14.409
2023-02-07T17:42:41.727	2.354	37.239	37.553	0.000	0.346	0.417	0.074	205	13.752
2023-02-07T17:42:39.162	3.538	38.629	37.857	0.000	0.560	0.379	0.003	206	34.383
2023-02-07T17:43:45.525	2.723	37.331	37.609	0.000	0.527	0.455	0.452	207	18.807
2023-02-07T17:44:51.618	3.244	36.963	37.158	0.000	0.463	0.364	0.065	208	38.145
2023-02-07T17:45:09.103	3.577	36.923	37.437	31000.000	0.706	0.338	0.022	209	9.343
2023-02-07T17:46:42.679	2.328	37.014	37.289	0.000	0.348	0.450	0.033	210	14.112
2023-02-07T17:46:56.878	3.831	36.867	38.095	21240.107	0.634	0.414	0.127	211	36.714
2023-02-07T17:47:49.461	3.326	37.350	37.614	0.000	0.704	0.256	-0.073	212	10.937
2023-02-07T17:48:20.128	2.970	37.197	37.614	336.721	0.461	0.406	-0.058	213	17.052
2023-02-07T17:48:48.354	2.863	37.050	37.492	3547.584	0.489	0.442	0.026	214	20.968
2023-02-07T17:50:21.224	2.792	37.119	37.489	0.000	0.630	0.457	0.143	215	11.438
2023-02-07T17:50:32.661	2.783	37.165	37.631	0.000	0.789	0.496	-0.136	216	27.396
2023-02-07T17:50:40.983	2.807	37.356	37.767	26561.821	0.835	0.299	0.079	217	13.425
2023-02-07T17:50:54.601	2.481	37.133	37.576	28867.868	0.458	0.524	-0.007	218	8.571
2023-02-07T17:51:08.113	2.644	37.160	37.377	17959.333	0.719	0.445	-0.173	219	17.247
2023-02-07T17:51:23.181	2.648	37.371	37.567	0.000	0.682	0.223	0.062	220	12.073
2023-02-07T17:52:40.079	3.682	37.235	38.091	26452.547	0.570	0.434	0.028	221	49.436
2023-02-07T02:45:18.115	3.022	37.590	37.723	0.000	0.703	0.362	0.085	222	28.813
2023-02-07T02:45:59.598	3.164	37.278	37.435	0.000	0.331	0.334	0.001	223	5.775
2023-02-07T02:46:19.006	3.287	37.744	37.899	0.000	0.658	0.362	0.030	224	12.625
2023-02-07T17:53:49.774	4.218	36.327	38.005	25630.398	0.670	0.420	0.152	225	39.728
2023-02-07T00:53:39.065	2.773	37.203	37.596	29677.396	0.590	0.592	-0.099	226	7.587
2023-02-07T02:47:56.493	3.798	36.724	37.272	30767.496	0.638	0.427	0.035	227	17.223
